stock_code,EPS,Beta,PE_Ratio,ROE,ROA,Gross_margin,Operating_margin,Trailing_PE_Ratio,PB_Ratio,Revenue_per_share
8046.TW,5.17,1.42,18.127306,0.07468,0.01915,0.11093,-0.111820005,38.007736,2.8274195,56.909
8070.TW,2.27,0.794,3.5121236,0.12788,0.027709998,0.18451999,0.09639,21.057268,1.9743091,24.32
8072.TW,0.97,0.627,nan,0.03855,0.0025799999,0.17817,0.0022200001,33.041237,1.1589224,14.068
8081.TW,18.75,0.702,16.130705,0.23754999,0.101940006,0.4095,0.19296,16.586666,4.1602015,94.159
8101.TW,-2.61,0.907,3.8191488,-1.3253101,-0.15239,0.09401,-1.62243,nan,5.7996764,2.023
8103.TW,3.05,0.988,11.947791,0.08856,0.03433,0.33620998,0.06279,19.508198,1.5153445,37.497
8104.TW,-3.14,1.134,45.555557,-0.09465,-0.00824,0.12077,0.0123000005,nan,1.4394383,35.114
8105.TW,0.56,1.23,29.649122,0.03153,0.00045000002,0.08292,-0.03387,30.17857,0.9370668,19.672
8110.TW,0.22,0.967,nan,0.00035999998,-0.0039399997,0.03758,0.036730003,94.09091,1.009067,14.398
8112.TW,5.03,0.442,13.766447,0.18421,0.05989,0.04083,0.022969998,16.640158,2.6693454,388.82
8114.TW,5.54,0.608,14.652015,0.11378,0.04458,0.39713,0.097559996,28.880867,3.1418138,128.367
8131.TW,1.47,0.361,nan,0.055970002,0.01574,0.081920005,0.12458,26.768705,1.5169036,17.725
8150.TW,2.68,0.49,8.671727,0.0846,0.02832,0.16916001,0.064569995,17.052238,1.3145027,30.485
8163.TW,5.82,0.739,18.128204,0.13074,0.01949,0.18031,0.04077,12.147765,1.7281837,89.282
8201.TW,-1.11,0.964,nan,-0.12877,-0.08064,0.16701001,-0.27148,nan,2.377988,7.487
8210.TW,11.69,0.65,17.046783,0.25948,0.092580006,0.24174999,0.16,24.935844,5.7197237,102.844
8213.TW,3.78,0.719,9.575243,0.06807,0.03138,0.14604001,0.02478,10.436508,0.701795,68.774
8215.TW,1.24,0.768,11.195286,0.05609,0.01709,0.18462999,0.02112,26.814516,1.9374198,55.051
8222.TW,1.24,0.522,50.69767,0.1042,0.019129999,0.20753999,0.092480004,35.16129,3.4752111,10.366
8249.TW,1.94,0.775,nan,0.05474,0.03319,0.19736,0.078099996,15.386598,0.75655806,32.374
8261.TW,3.02,1.103,nan,0.06528,0.02755,0.24400999,0.043470003,28.509933,1.8858833,23.8
8271.TW,4.37,0.608,nan,0.12963,0.06708,0.22711,0.07238,15.514875,1.8431927,62.231
8341.TW,2.65,0.395,22.333334,0.08302,0.02918,0.39271998,0.09345999,37.924526,2.826209,25.565
8367.TW,2.59,0.598,21.170214,0.075430006,0.01857,0.29986,0.16499001,19.208494,1.401211,27.665
8374.TW,-0.2,0.442,nan,-0.00868,-0.00457,0.21179001,-0.00187,nan,4.8426147,26.317
8404.TW,-1.27,0.929,20.147058,-0.07069,0.00616,0.31342,0.13661,nan,1.3272622,16.248
8411.TW,0.24,0.583,25.178572,0.00899,0.01155,0.10742,0.0081400005,58.750004,0.52812946,39.495
8422.TW,7.68,0.231,17.264574,0.13972999,0.04686,0.39528,0.22124,25.065105,3.231872,39.033
